DATE,BAMLH0A1HYBB
2024-03-18,1.91
2024-03-19,1.89
2024-03-20,1.91
2024-03-21,1.81
2024-03-22,1.85
2024-03-25,1.87
2024-03-26,1.90
2024-03-27,1.90
2024-03-28,1.87
2024-03-29,.
2024-03-31,1.90
2024-04-01,1.86
2024-04-02,1.94
2024-04-03,1.94
2024-04-04,1.96
2024-04-05,1.89
2024-04-08,1.86
2024-04-09,1.87
2024-04-10,1.82
2024-04-11,1.88
2024-04-12,1.96
2024-04-15,1.99
2024-04-16,2.04
2024-04-17,2.10
2024-04-18,2.07
