Date,keyword
2016-08-20,11.34917
2016-08-21,8.2308
2016-08-22,42.82986
2016-08-23,26.84556
2016-08-24,27.84259
2016-08-25,31.16249
2016-08-26,28.30929
2016-08-27,13.41747
2016-08-28,10.94611
2016-08-29,53.57445
2016-08-30,32.42469
2016-08-31,31.08824
2016-09-01,28.41535
2016-09-02,27.535
2016-09-03,7.15952
2016-09-04,7.41408
2016-09-05,47.64531
2016-09-06,27.99109
2016-09-07,65.58124
2016-09-08,36.084
2016-09-09,30.55791
2016-09-10,8.71871
2016-09-11,8.4005
2016-09-12,42.19346
2016-09-13,29.23207
2016-09-14,10.52184
2016-09-15,6.59736
2016-09-16,7.22316
2016-09-17,9.10055
2016-09-18,11.31735
2016-09-19,43.52991
2016-09-20,28.10776
2016-09-21,31.4913
2016-09-22,38.21595
2016-09-23,17.96775
2016-09-24,5.52609
2016-09-25,6.5019
2016-09-26,21.11794
2016-09-27,33.19898
2016-09-28,28.35171
2016-09-29,19.38905
2016-09-30,12.8235
2016-10-01,4.25328
2016-10-02,4.45481
2016-10-03,10.06576
2016-10-04,20.90581
2016-10-05,24.49087
2016-10-06,18.46627
2016-10-07,16.21764
2016-10-08,5.40941
2016-10-09,7.32923
2016-10-10,19.26177
2016-10-11,25.27577
2016-10-12,24.09843
2016-10-13,29.94272
2016-10-14,16.68434
2016-10-15,7.81714
2016-10-16,10.4582
2016-10-17,43.41323
2016-10-18,22.22104
2016-10-19,22.80441
2016-10-20,20.23759
2016-10-21,20.51336
2016-10-22,9.93848
2016-10-23,9.57785
2016-10-24,24.8515
2016-10-25,15.24183
2016-10-26,15.15697
2016-10-27,16.99193
2016-10-28,19.51633
2016-10-29,4.71998
2016-10-30,6.8095
2016-10-31,23.47263
2016-11-01,13.7781
2016-11-02,17.77683
2016-11-03,16.07976
2016-11-04,15.72974
2016-11-05,5.42002
2016-11-06,6.28977
2016-11-07,24.43784
2016-11-08,15.15697
2016-11-09,61.63555
2016-11-10,45.79974
2016-11-11,76.64403
2016-11-12,13.35383
2016-11-13,12.95078
2016-11-14,37.57955
2016-11-15,30.81247
2016-11-16,24.93635
2016-11-17,22.68773
2016-11-18,32.50954
2016-11-19,10.43699
2016-11-20,9.11115
2016-11-21,29.47602
2016-11-22,23.53627
2016-11-23,17.69198
2016-11-24,17.8935
2016-11-25,15.27365
2016-11-26,4.83665
2016-11-27,5.2291
2016-11-28,18.76325
2016-11-29,13.9266
2016-11-30,14.47815
2016-12-01,14.84938
2016-12-02,13.24777
2016-12-03,4.07297
2016-12-04,6.44887
2016-12-05,20.13152
2016-12-06,18.89053
2016-12-07,14.22358
2016-12-08,25.85914
2016-12-09,21.6801
2016-12-10,7.36105
2016-12-11,7.72168
2016-12-12,30.79126
2016-12-13,15.22061
2016-12-14,15.12515
2016-12-15,30.36699
2016-12-16,31.5019
2016-12-17,6.28977
2016-12-18,7.35044
2016-12-19,26.51675
2016-12-20,24.14085
2016-12-21,21.12855
2016-12-22,21.09673
2016-12-23,27.66228
2016-12-24,12.97199
2016-12-25,12.09164
2016-12-26,22.19983
2016-12-27,26.77131
2016-12-28,34.39753
2016-12-29,18.91175
2016-12-30,18.49809
2016-12-31,8.34747
2017-01-01,5.98218
2017-01-02,27.02588
2017-01-03,17.47984
2017-01-04,14.65846
2017-01-05,33.75053
2017-01-06,20.49215
2017-01-07,7.26559
2017-01-08,7.78532
2017-01-09,22.45439
2017-01-10,19.19813
2017-01-11,16.75859
2017-01-12,35.37335
2017-01-13,26.98345
2017-01-14,8.16716
2017-01-15,10.7658
2017-01-16,19.77089
2017-01-17,24.33177
2017-01-18,38.24777
2017-01-19,19.9512
2017-01-20,15.28425
2017-01-21,5.25031
2017-01-22,5.25031
2017-01-23,28.34111
2017-01-24,29.24268
2017-01-25,19.86635
2017-01-26,24.77725
2017-01-27,3.94569
2017-01-28,3.18201
2017-01-29,4.1154
2017-01-30,9.35511
2017-01-31,16.13279
2017-02-01,22.69834
2017-02-02,42.27831
2017-02-03,23.02715
2017-02-04,14.43572
2017-02-05,15.23122
2017-02-06,40.34789
2017-02-07,24.17267
2017-02-08,19.08145
2017-02-09,14.92363
2017-02-10,19.90878
2017-02-11,7.27619
2017-02-12,6.56554
2017-02-13,22.16801
2017-02-14,28.81841
2017-02-15,24.67119
2017-02-16,15.91005
2017-02-17,12.81289
2017-02-18,5.71701
2017-02-19,6.1731
2017-02-20,15.12515
2017-02-21,15.63428
2017-02-22,16.82223
2017-02-23,23.67416
2017-02-24,33.69749
2017-02-25,9.22783
2017-02-26,8.71871
2017-02-27,30.99278
2017-02-28,23.67416
2017-03-01,17.90411
2017-03-02,39.47815
2017-03-03,38.89478
2017-03-04,23.81204
2017-03-05,14.45693
2017-03-06,40.87823
2017-03-07,28.83962
2017-03-08,31.30038
2017-03-09,37.21892
2017-03-10,27.56682
2017-03-11,7.81714
2017-03-12,13.33262
2017-03-13,36.51887
2017-03-14,40.62367
2017-03-15,31.09885
2017-03-16,79.98515
2017-03-17,43.48748
2017-03-18,15.26304
2017-03-19,14.74331
2017-03-20,85.53245
2017-03-21,62.92957
2017-03-22,24.3742
2017-03-23,32.27619
2017-03-24,16.55706
2017-03-25,11.58252
2017-03-26,9.51421
2017-03-27,39.89181
2017-03-28,23.81204
2017-03-29,19.49512
2017-03-30,23.16504
2017-03-31,20.56639
2017-04-01,7.65803
2017-04-02,6.67161
2017-04-03,26.12431
2017-04-04,18.37081
2017-04-05,20.75731
2017-04-06,27.93805
2017-04-07,26.07127
2017-04-08,9.5036
2017-04-09,10.10818
2017-04-10,41.02672
2017-04-11,39.43572
2017-04-12,25.3288
2017-04-13,25.647
2017-04-14,27.11073
2017-04-15,8.88841
2017-04-16,8.32626
2017-04-17,20.19516
2017-04-18,21.39372
2017-04-19,15.39032
2017-04-20,13.00381
2017-04-21,15.65549
2017-04-22,4.34874
2017-04-23,3.11837
2017-04-24,21.24522
2017-04-25,11.78404
2017-04-26,16.38735
2017-04-27,14.14934
2017-04-28,8.17776
2017-04-29,3.42596
2017-04-30,3.29868
2017-05-01,5.51548
2017-05-02,16.74798
2017-05-03,3.62749
2017-05-04,8.89902
2017-05-05,3.9563
2017-05-06,3.63809
2017-05-07,3.06533
2017-05-08,12.9826
2017-05-09,3.50021
2017-05-10,8.47475
2017-05-11,9.16419
2017-05-12,8.99448
2017-05-13,2.60924
2017-05-14,2.57742
2017-05-15,18.90114
2017-05-16,26.32583
2017-05-17,17.00254
2017-05-18,11.09461
2017-05-19,8.2414
2017-05-20,2.26983
2017-05-21,2.77895
2017-05-22,19.43148
2017-05-23,9.12176
2017-05-24,8.69749
2017-05-25,10.43699
2017-05-26,8.14594
2017-05-27,2.13194
2017-05-28,2.66228
2017-05-29,16.69495
2017-05-30,7.67925
2017-05-31,8.46414
2017-06-01,6.48069
2017-06-02,6.24734
2017-06-03,1.88799
2017-06-04,2.59864
2017-06-05,8.82477
2017-06-06,3.06533
2017-06-07,6.3428
2017-06-08,8.0823
2017-06-09,6.90496
2017-06-10,1.66525
2017-06-11,2.52439
2017-06-12,15.85702
2017-06-13,11.68858
2017-06-14,5.84429
2017-06-15,14.96605
2017-06-16,11.81586
2017-06-17,2.71531
2017-06-18,3.71234
2017-06-19,16.45099
2017-06-20,12.1871
2017-06-21,17.23589
2017-06-22,9.93848
2017-06-23,10.00212
2017-06-24,1.69707
2017-06-25,1.84556
2017-06-26,15.61306
2017-06-27,7.47772
2017-06-28,12.05982
2017-06-29,10.47942
2017-06-30,17.58591
2017-07-01,2.535
2017-07-02,2.52439
2017-07-03,15.81459
2017-07-04,18.39202
2017-07-05,13.44929
2017-07-06,22.76198
2017-07-07,14.563
2017-07-08,2.74713
2017-07-09,2.63046
2017-07-10,25.67882
2017-07-11,8.11412
2017-07-12,14.67967
2017-07-13,22.92108
2017-07-14,11.43402
2017-07-15,3.39414
2017-07-16,2.90623
2017-07-17,20.70428
2017-07-18,19.56936
2017-07-19,21.12855
2017-07-20,13.83114
2017-07-21,9.27025
2017-07-22,2.7047
2017-07-23,2.30165
2017-07-24,21.5316
2017-07-25,16.66313
2017-07-26,11.16885
2017-07-27,12.55833
2017-07-28,6.45948
2017-07-29,3.11837
2017-07-30,3.07594
2017-07-31,9.30207
2017-08-01,7.39287
2017-08-02,4.94272
2017-08-03,9.75816
2017-08-04,8.11412
2017-08-05,1.33644
2017-08-06,1.51675
2017-08-07,11.14764
2017-08-08,8.44293
2017-08-09,20.37547
2017-08-10,19.7921
2017-08-11,17.52227
2017-08-12,2.8638
2017-08-13,3.02291
2017-08-14,11.5613
2017-08-15,2.17437
2017-08-16,13.49172
